location,mintemp,maxtemp,rainfall,evaporation,sunshine,winddir,windspeed,humidity,pressure,cloud,temp,raintoday,raintom
Albury,13.4,22.9,0.6,NA,NA,WNW,24,22,1007.1,NA,21.8,No,No
Albury,7.4,25.1,0,NA,NA,WSW,22,25,1007.8,NA,24.3,No,No
Albury,12.9,25.7,0,NA,NA,WSW,26,30,1008.7,2,23.2,No,No
Albury,9.2,28,0,NA,NA,E,9,16,1012.8,NA,26.5,No,No
Albury,17.5,32.3,1,NA,NA,NW,20,33,1006,8,29.7,No,No
Albury,14.6,29.7,0.2,NA,NA,W,24,23,1005.4,NA,28.9,No,No
Albury,14.3,25,0,NA,NA,W,24,19,1008.2,NA,24.6,No,No
Albury,7.7,26.7,0,NA,NA,W,17,19,1010.1,NA,25.5,No,No
Albury,9.7,31.9,0,NA,NA,NW,28,9,1003.6,NA,30.2,No,Yes
Albury,13.5,22.9,16.8,NA,NA,,20,65,1002.2,1,21.5,Yes,Yes
Albury,11.2,22.5,10.6,NA,NA,SW,17,32,1009.7,2,21,Yes,No
Albury,13.4,30.4,0,NA,NA,ESE,,22,1008.7,NA,28.8,No,Yes
Albury,15.9,21.7,2.2,NA,NA,ENE,13,91,1004.2,8,17,Yes,Yes
Albury,15.9,18.6,15.6,NA,NA,NNW,28,93,993,8,15.8,Yes,Yes
Albury,14.1,20.9,0,NA,NA,E,9,82,1010.4,1,18.1,No,Yes
Albury,9.8,25.6,0,NA,NA,,6,26,1017.1,NA,23.2,No,No
Albury,11.5,29.3,0,NA,NA,SE,,28,1014.8,NA,27.3,No,No
Albury,17.1,33,0,NA,NA,N,22,28,1008.1,1,31.6,No,No
Albury,20.5,31.8,0,NA,NA,W,20,24,1005.7,NA,30.8,No,No
Albury,15.3,30.9,0,NA,NA,NW,13,23,1008.2,NA,29,No,No
Albury,12.6,32.4,0,NA,NA,W,19,17,1010.1,NA,31.2,No,No
Albury,16.2,33.9,0,NA,NA,WSW,13,19,1007.6,1,33,No,No
Albury,16.9,33,0,NA,NA,W,26,28,1003.6,1,31.2,No,No
Albury,20.1,32.7,0,NA,NA,WNW,30,15,1001.7,NA,32.1,No,No
Albury,19.7,27.2,0,NA,NA,WSW,30,22,1004.2,NA,26.1,No,Yes
Albury,12.5,24.2,1.2,NA,NA,SW,22,70,1003.4,8,18.2,Yes,No
Albury,12,24.4,0.8,NA,NA,WNW,17,28,1005.1,NA,22.7,No,No
Albury,11.3,26.5,0,NA,NA,WNW,31,26,1003.2,NA,25.7,No,No
Albury,9.6,23.9,0,NA,NA,SSW,11,22,1013.1,NA,22.1,No,No
Albury,10.5,28.8,0,NA,NA,E,7,22,1014.8,NA,26.5,No,No
Albury,12.3,34.6,0,NA,NA,NW,17,12,1010.3,NA,33.9,No,No
Albury,12.9,35.8,0,NA,NA,NW,26,9,1009.2,NA,34.4,No,No
Albury,13.7,37.9,0,NA,NA,WNW,26,8,1006.7,NA,36.8,No,No
Albury,16.1,38.9,0,NA,NA,W,30,12,1002.7,NA,38.4,No,No
Albury,14,28.3,0,NA,NA,WSW,24,15,1010.9,NA,27.6,No,No
Albury,12.5,28.4,0,NA,NA,S,9,16,1013.7,NA,26.6,No,No
Albury,17,30.8,0,NA,NA,E,11,24,1008.1,NA,29.3,No,No
Albury,16.9,32,0,NA,NA,N,17,31,1006.8,NA,30,No,No
Albury,17.3,34.7,0,NA,NA,WSW,15,16,1012.1,NA,33.2,No,No
Albury,17.2,37.7,0,NA,NA,NW,17,19,1010.9,NA,35.7,No,No
Albury,17.4,43,0,NA,NA,SSW,17,8,1006.9,NA,41.5,No,No
Albury,19.8,32.7,0,NA,NA,W,28,28,1009.2,NA,27.1,No,No
Albury,14.9,26.7,0,NA,NA,SW,31,20,1012.7,NA,25.5,No,No
Albury,10.5,28.4,0,NA,NA,SW,11,16,1017.4,NA,25.8,No,No
Albury,11.3,32.2,0,NA,NA,SSW,15,17,1016.2,NA,30.5,No,No
Albury,13.9,36.6,0,NA,NA,NNE,15,10,1010.6,NA,34.4,No,No
Albury,18.6,39.9,0,NA,NA,WNW,20,21,1004.8,NA,37.7,No,No
Albury,19.3,38.1,0.8,NA,NA,WSW,17,17,1005.9,NA,36.1,No,No
Albury,24.4,34,0.6,NA,NA,NNW,48,39,997.8,1,33.1,No,Yes
Albury,18.8,35.2,6.4,NA,NA,NW,28,28,1003.9,NA,33,Yes,No
Albury,20.8,30.6,0,NA,NA,W,28,21,1007.6,NA,29.7,No,No
Albury,14,34.3,0,NA,NA,SSE,13,10,1014.6,NA,32.1,No,No
Albury,15.7,38.4,0,NA,NA,WSW,7,12,1014.6,NA,36.5,No,No
Albury,18.5,38.2,0,NA,NA,NNW,17,25,1014.1,NA,36.2,No,No
Albury,20.4,40.7,0,NA,NA,NNE,13,15,1011.6,NA,39.2,No,No
Albury,21.8,41.5,0,NA,NA,S,11,13,1011.8,NA,40.1,No,No
Albury,22.3,42.9,0,NA,NA,SE,11,11,1010.2,NA,41.2,No,No
Albury,22,42.7,0,NA,NA,SW,4,11,1010.5,NA,42,No,No
Albury,28,43.1,0,NA,NA,E,9,9,1008.7,NA,41.9,No,No
Albury,24.4,38.3,0.2,NA,NA,NW,7,21,1007.4,NA,37.1,No,No
Albury,21.5,37.7,0,NA,NA,NA,9,21,1005.7,NA,36.2,No,No
Albury,21.7,36.9,0,NA,NA,NA,11,26,1004.7,NA,35.2,No,No
Albury,21.5,41.2,0,NA,NA,S,19,15,1002.6,NA,39.7,No,No
Albury,23.5,42.2,0,NA,NA,W,15,8,1005,NA,41.6,No,No
Albury,22.3,44.8,0,NA,NA,NW,33,11,1003.8,NA,43.4,No,No
Albury,28.3,40.2,0,NA,NA,W,22,19,1006.5,5,38.5,No,No
Albury,18.4,31.2,0.4,NA,NA,WSW,11,31,1007.8,8,29.4,No,No
Albury,14.9,27.3,0,NA,NA,SE,13,30,1008.5,1,25.8,No,No
Albury,13.5,26.7,0,NA,NA,E,11,24,1011.1,NA,24.9,No,No
Albury,16.1,21.6,0,NA,NA,NE,15,69,1017.3,8,17.3,No,Yes
Albury,14.6,29,3,NA,NA,SSE,24,21,1019.7,NA,27.6,Yes,No
Albury,12.4,29.2,0,NA,NA,NA,0,18,1016.4,NA,28.5,No,No
Albury,13.3,31.3,0,NA,NA,SSW,15,23,1012.8,NA,29.2,No,No
Albury,17.2,31.1,0,NA,NA,ESE,11,22,1013.8,NA,29.5,No,No
Albury,12.5,28.8,0,NA,NA,ENE,11,17,1013.5,NA,27,No,No
Albury,18,32,0,NA,NA,SW,13,22,1007.5,NA,30.7,No,No
Albury,12.9,29.6,0,NA,NA,WNW,24,14,1012.7,7,28.6,No,No
Albury,8.9,31.9,0,NA,NA,WSW,17,16,1013.4,7,29.3,No,No
Albury,15,32.7,0,NA,NA,S,2,19,1015,NA,30.5,No,No
Albury,15.4,32.6,0,NA,NA,S,6,25,1012.6,NA,30.8,No,No
Albury,16,34.5,0,NA,NA,NA,NA,14,1004.6,NA,33.6,No,No
Albury,12.8,30.3,0,NA,NA,WSW,13,27,1008.7,NA,28.1,No,No
Albury,13.2,31.9,0,NA,NA,ENE,9,25,1011.6,NA,29.8,No,No
Albury,18,31.1,0,NA,NA,NNE,26,35,1009,NA,29.2,No,No
Albury,13.8,22.1,0.2,NA,NA,WNW,33,26,1013.1,NA,21.9,No,No
Albury,11.5,22,0,NA,NA,W,33,33,1011.8,NA,21.4,No,No
Albury,7.6,24,0,NA,NA,WNW,13,23,1012,NA,22,No,No
Albury,8.3,27.9,0,NA,NA,W,20,22,1012.4,NA,27,No,No
Albury,11,30.2,0,NA,NA,SSE,11,20,1014.7,NA,28.8,No,No
Albury,13.8,31.8,0,NA,NA,NE,17,28,1015.9,NA,30.5,No,No
Albury,15.5,32,0,NA,NA,E,4,25,1016.2,NA,30.8,No,Yes
Albury,20.9,25.7,0,NA,NA,S,9,90,1018.9,8,18.8,No,Yes
Albury,17.1,25.8,5.8,NA,NA,S,13,68,1014.7,NA,23.8,Yes,Yes
